,Ensemble,Activation function,# of hidden layers,Neurons per layer,Accuracy,Precision,Recall,F1
117,log_reg,logistic,1,1,0.918505516549649,0.9241071428571429,0.9154791154791154,0.9197728955813379
118,log_reg,logistic,1,10,0.918505516549649,0.9241071428571429,0.9154791154791154,0.9197728955813379
119,log_reg,logistic,1,20,0.918505516549649,0.9241071428571429,0.9154791154791154,0.9197728955813379
120,log_reg,logistic,10,1,0.48971915747241723,0.0,0.0,0.0
121,log_reg,logistic,10,10,0.48971915747241723,0.0,0.0,0.0
122,log_reg,logistic,10,20,0.48971915747241723,0.0,0.0,0.0
123,log_reg,logistic,25,1,0.5102808425275828,0.5102808425275828,1.0,0.6757429852233107
124,log_reg,logistic,25,10,0.48971915747241723,0.0,0.0,0.0
125,log_reg,logistic,25,20,0.48971915747241723,0.0,0.0,0.0
126,log_reg,tanh,1,1,0.918505516549649,0.9241071428571429,0.9154791154791154,0.9197728955813379
127,log_reg,tanh,1,10,0.918505516549649,0.9241071428571429,0.9154791154791154,0.9197728955813379
128,log_reg,tanh,1,20,0.918505516549649,0.9241071428571429,0.9154791154791154,0.9197728955813379
129,log_reg,tanh,10,1,0.5102808425275828,0.5102808425275828,1.0,0.6757429852233107
130,log_reg,tanh,10,10,0.918505516549649,0.9241071428571429,0.9154791154791154,0.9197728955813379
131,log_reg,tanh,10,20,0.918505516549649,0.9241071428571429,0.9154791154791154,0.9197728955813379
132,log_reg,tanh,25,1,0.5102808425275828,0.5102808425275828,1.0,0.6757429852233107
133,log_reg,tanh,25,10,0.918505516549649,0.9241071428571429,0.9154791154791154,0.9197728955813379
134,log_reg,tanh,25,20,0.918505516549649,0.9241071428571429,0.9154791154791154,0.9197728955813379
135,log_reg,relu,1,1,0.918505516549649,0.9241071428571429,0.9154791154791154,0.9197728955813379
136,log_reg,relu,1,10,0.918505516549649,0.9241071428571429,0.9154791154791154,0.9197728955813379
137,log_reg,relu,1,20,0.918505516549649,0.9241071428571429,0.9154791154791154,0.9197728955813379
138,log_reg,relu,10,1,0.48971915747241723,0.0,0.0,0.0
139,log_reg,relu,10,10,0.918505516549649,0.9241071428571429,0.9154791154791154,0.9197728955813379
140,log_reg,relu,10,20,0.918505516549649,0.9241071428571429,0.9154791154791154,0.9197728955813379
141,log_reg,relu,25,1,0.5102808425275828,0.5102808425275828,1.0,0.6757429852233107
